run	set	worker	status	tsload	tssend	doc1img	doc1txt	doc1keys	doc1rel	doc2img	doc2txt	doc2keys	doc2rel	doc3img	doc3txt	doc3keys	doc3rel	doc4img	doc4txt	doc4keys	doc4rel	doc5img	doc5txt	doc5keys	doc5rel	kfails	tfails	comment
1	458	87	Accepted	12/09/2011 19:42:28	12/09/2011 19:44:39	25.04	0.00	2	0	33.09	0.00	1	0	26.07	0.00	1	1	15.60	0.00	1	1	29.83	0.00	2	1	1	0	""
1	464	741	Accepted	12/09/2011 19:43:20	12/09/2011 19:45:45	17.21	0.00	1	2	36.36	0.00	2	2	25.39	0.00	1	2	21.38	0.00	2	1	42.91	0.00	2	0	0	0	""
1	541	742	Preview	12/09/2011 19:43:48	12/09/2011 19:44:19	27.37	0.00	NA	NA	2.68	0.00	NA	NA	0.00	0.00	NA	NA	0.00	0.00	NA	NA	0.00	0.00	NA	NA	NA	NA	NA
1	541	742	Accepted	12/09/2011 19:44:21	12/09/2011 19:46:09	0.00	21.94	1	2	0.00	15.92	2	2	0.00	24.32	2	2	0.00	20.14	1	2	0.00	24.93	1	2	0	0	""
1	107	668	Preview	12/09/2011 19:44:32	12/09/2011 19:54:13	579.73	1.03	NA	NA	0.00	0.00	NA	NA	0.00	0.00	NA	NA	0.00	0.00	NA	NA	0.00	0.00	NA	NA	NA	NA	NA
1	115	261	Preview	12/09/2011 19:44:38	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	115	261	Accepted	12/09/2011 19:44:45	12/09/2011 19:47:10	26.49	0.00	2	0	46.11	0.00	2	0	30.61	0.00	1	1	21.10	0.00	1	1	19.86	0.00	1	2	0	0	""
1	468	87	Preview	12/09/2011 19:44:47	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	468	87	Accepted	12/09/2011 19:44:55	12/09/2011 19:46:53	25.41	0.00	1	2	28.54	0.00	1	1	14.85	0.00	2	0	35.59	0.00	1	0	12.99	0.00	2	1	0	0	""
1	430	122	Preview	12/09/2011 19:44:58	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	106	386	Preview	12/09/2011 19:45:04	12/09/2011 19:48:05	180.26	0.00	NA	NA	0.00	0.00	NA	NA	0.00	0.00	NA	NA	0.00	0.00	NA	NA	0.00	0.00	NA	NA	NA	NA	NA
1	430	122	Skipped	12/09/2011 19:45:05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	461	741	Preview	12/09/2011 19:45:49	12/09/2011 19:46:23	32.10	0.00	NA	NA	0.00	0.00	NA	NA	0.00	0.00	NA	NA	0.00	0.00	NA	NA	0.00	0.00	NA	NA	NA	NA	NA
1	798	742	Preview	12/09/2011 19:46:12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	798	742	Accepted	12/09/2011 19:46:21	12/09/2011 19:47:21	0.00	11.75	2	2	0.00	8.36	2	2	0.00	15.02	2	1	0.00	11.04	2	2	0.00	12.81	1	2	0	0	""
1	461	741	Accepted	12/09/2011 19:46:28	12/09/2011 19:49:04	21.25	0.00	2	2	19.84	0.00	1	2	28.80	0.00	1	1	40.90	0.00	2	1	43.08	0.00	1	0	0	0	""
1	788	214	Preview	12/09/2011 19:46:56	12/09/2011 19:47:28	30.00	0.00	NA	NA	0.00	0.00	NA	NA	0.00	0.00	NA	NA	0.00	0.00	NA	NA	0.00	0.00	NA	NA	NA	NA	NA
1	459	87	Preview	12/09/2011 19:47:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	14	88	Preview	12/09/2011 19:47:05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	459	87	Accepted	12/09/2011 19:47:09	12/09/2011 19:48:38	34.67	0.00	2	2	16.69	0.00	1	1	13.16	0.00	2	0	13.00	0.00	2	0	11.18	0.00	1	1	0	0	""
1	826	261	Preview	12/09/2011 19:47:13	12/09/2011 19:55:45	510.43	0.00	NA	NA	0.00	0.00	NA	NA	0.00	0.00	NA	NA	0.00	0.00	NA	NA	0.00	0.00	NA	NA	NA	NA	NA
1	14	88	Accepted	12/09/2011 19:47:16	12/09/2011 19:50:47	91.11	0.00	1	2	38.22	0.00	2	2	16.79	0.00	2	0	34.18	0.00	2	1	29.22	0.00	2	1	0	0	""
1	438	742	Preview	12/09/2011 19:47:25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	438	742	Accepted	12/09/2011 19:47:29	12/09/2011 19:48:48	0.00	11.24	2	2	0.00	8.17	1	2	0.00	9.63	2	2	0.00	10.10	1	1	0.00	38.66	2	0	0	0	""
1	838	122	Preview	12/09/2011 19:47:35	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	106	386	Accepted	12/09/2011 19:48:06	12/09/2011 19:53:10	33.09	0.00	1	2	65.83	17.99	2	0	50.62	0.00	2	2	56.63	0.00	1	1	79.51	0.00	1	0	0	0	""
1	556	87	Preview	12/09/2011 19:48:45	12/09/2011 19:48:57	10.02	0.00	NA	NA	0.00	0.00	NA	NA	0.00	0.00	NA	NA	0.00	0.00	NA	NA	0.00	0.00	NA	NA	NA	NA	NA
1	623	742	Preview	12/09/2011 19:48:50	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	556	87	Accepted	12/09/2011 19:49:03	12/09/2011 19:50:55	27.19	0.00	1	2	21.91	0.00	2	0	13.17	0.00	1	1	18.72	0.00	1	0	30.80	0.00	2	1	1	0	""
1	428	741	Preview	12/09/2011 19:49:10	12/09/2011 21:29:31	6019.92	0.00	NA	NA	0.00	0.00	NA	NA	0.00	0.00	NA	NA	0.00	0.00	NA	NA	0.00	0.00	NA	NA	NA	NA	NA
1	445	196	Preview	12/09/2011 19:49:25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	430	575	Preview	12/09/2011 19:49:40	12/09/2011 19:50:11	30.03	0.00	NA	NA	0.00	0.00	NA	NA	0.00	0.00	NA	NA	0.00	0.00	NA	NA	0.00	0.00	NA	NA	NA	NA	NA
1	442	88	Accepted	12/09/2011 19:50:54	12/09/2011 19:53:38	21.26	0.00	2	0	49.88	0.00	2	1	34.08	0.00	2	2	22.35	0.00	2	2	34.01	0.00	2	0	0	0	""
1	549	161	Preview	12/09/2011 19:50:57	12/09/2011 19:51:08	10.00	0.00	NA	NA	0.00	0.00	NA	NA	0.00	0.00	NA	NA	0.00	0.00	NA	NA	0.00	0.00	NA	NA	NA	NA	NA
1	48	87	Preview	12/09/2011 19:51:01	12/09/2011 19:51:11	10.01	0.00	NA	NA	0.00	0.00	NA	NA	0.00	0.00	NA	NA	0.00	0.00	NA	NA	0.00	0.00	NA	NA	NA	NA	NA
1	549	161	Accepted	12/09/2011 19:51:13	12/09/2011 19:52:49	38.89	0.00	2	1	16.42	0.00	2	0	18.04	0.00	2	2	11.46	0.00	2	2	10.51	0.00	1	2	0	0	""
1	752	427	Preview	12/09/2011 19:51:30	12/09/2011 19:52:28	51.01	0.00	NA	NA	0.00	0.00	NA	NA	0.00	0.00	NA	NA	0.00	0.00	NA	NA	0.00	0.00	NA	NA	NA	NA	NA
1	824	161	Accepted	12/09/2011 19:52:52	12/09/2011 19:55:01	49.55	0.00	1	2	10.81	0.00	2	1	12.47	0.00	2	0	20.76	0.00	1	1	34.57	0.00	1	2	0	0	""
1	826	386	Preview	12/09/2011 19:53:14	12/09/2011 19:56:45	210.17	0.00	NA	NA	0.00	0.00	NA	NA	0.00	0.00	NA	NA	0.00	0.00	NA	NA	0.00	0.00	NA	NA	NA	NA	NA
1	794	88	Accepted	12/09/2011 19:53:43	12/09/2011 19:55:47	39.60	0.00	2	2	18.28	0.00	2	1	18.47	0.00	2	0	30.63	0.00	1	0	15.55	0.00	2	2	0	0	""
1	107	668	Accepted	12/09/2011 19:54:22	12/09/2011 19:56:12	27.06	0.00	2	0	11.28	0.00	1	0	20.51	0.00	2	0	19.27	0.00	1	2	30.51	0.00	2	1	0	0	""
1	762	170	Preview	12/09/2011 19:54:27	12/09/2011 19:55:59	90.22	0.00	NA	NA	0.00	0.00	NA	NA	0.00	0.00	NA	NA	0.00	0.00	NA	NA	0.00	0.00	NA	NA	NA	NA	NA
1	469	161	Accepted	12/09/2011 19:55:04	12/09/2011 19:56:32	24.22	0.00	2	1	21.58	0.00	1	0	13.72	0.00	2	1	9.64	0.00	2	0	18.61	0.00	2	0	0	0	""
1	411	746	Preview	12/09/2011 19:55:17	12/09/2011 19:55:38	20.01	0.00	NA	NA	0.00	0.00	NA	NA	0.00	0.00	NA	NA	0.00	0.00	NA	NA	0.00	0.00	NA	NA	NA	NA	NA
1	783	746	Preview	12/09/2011 19:55:42	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	826	261	Accepted	12/09/2011 19:55:45	12/09/2011 19:57:02	11.96	0.00	1	2	15.46	0.00	1	0	13.56	0.00	1	1	21.91	0.00	2	1	12.52	0.00	1	2	0	0	""
1	783	746	Accepted	12/09/2011 19:55:47	12/09/2011 19:57:32	41.45	0.00	2	2	19.70	0.00	2	1	16.48	0.00	1	0	16.82	0.00	2	0	10.06	0.00	2	0	0	0	""
1	555	88	Accepted	12/09/2011 19:55:55	12/09/2011 19:58:05	33.84	0.00	2	0	23.81	0.00	2	2	22.81	0.00	2	0	14.87	0.00	1	2	30.60	0.00	2	1	0	0	""
1	793	668	Preview	12/09/2011 19:56:16	12/09/2011 20:23:39	9.60	0.00	NA	NA	1631.56	0.00	NA	NA	0.00	0.00	NA	NA	0.00	0.00	NA	NA	0.00	0.00	NA	NA	NA	NA	NA
1	563	161	Skipped	12/09/2011 19:56:35	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	564	538	Preview	12/09/2011 19:56:46	12/09/2011 19:57:48	60.23	0.00	NA	NA	0.00	0.00	NA	NA	0.00	0.00	NA	NA	0.00	0.00	NA	NA	0.00	0.00	NA	NA	NA	NA	NA
1	467	161	Preview	12/09/2011 19:56:49	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	467	161	Skipped	12/09/2011 19:56:52	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	838	161	Preview	12/09/2011 19:57:01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	838	161	Skipped	12/09/2011 19:57:03	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	416	261	Preview	12/09/2011 19:57:05	12/09/2011 19:57:46	40.03	0.00	NA	NA	0.00	0.00	NA	NA	0.00	0.00	NA	NA	0.00	0.00	NA	NA	0.00	0.00	NA	NA	NA	NA	NA
1	106	386	Skipped	12/09/2011 19:57:13	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	624	161	Preview	12/09/2011 19:57:17	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	624	161	Skipped	12/09/2011 19:57:18	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	619	161	Preview	12/09/2011 19:57:33	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	619	161	Skipped	12/09/2011 19:57:35	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	752	746	Preview	12/09/2011 19:57:35	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	752	746	Accepted	12/09/2011 19:57:44	12/09/2011 19:59:44	28.31	0.00	2	1	19.95	0.00	1	0	26.06	0.00	2	0	33.89	0.00	1	2	10.53	0.00	2	2	1	0	""
1	802	161	Preview	12/09/2011 19:57:47	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	802	161	Skipped	12/09/2011 19:57:48	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	823	261	Preview	12/09/2011 19:57:50	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	761	538	Preview	12/09/2011 19:57:55	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
