set	topic	title	good	bad	doc1	doc1keys1	doc1keys2	doc1keys	doc2	doc2keys1	doc2keys2	doc2keys	doc3	doc3keys1	doc3keys2	doc3keys	doc4	doc4keys1	doc4keys2	doc4keys	doc5	doc5keys1	doc5keys2	doc5keys
14	20642	"pH levels (acidity)."	"pages that describe levels of pH."	"pages that merely mention pH levels but do not provide any insight."	clueweb09-en0006-14-25876	"water, co2, chart, kh, ph"	"copyright, comments, gadd, 10ppm, yellow"	1	clueweb09-en0006-18-35514	"statements, chlorine, pcb, topics, disclaimer"	"ph, acid, water, body, electrolyte"	2	clueweb09-en0004-79-09841	"man, elane, wiley, 72, localswingers"	"ph, color, recorders, level, chart"	2	clueweb09-en0006-35-31356	"courtesy, monitor, sschaafesd114wednet, site, equipment"	"aquatic, acid, ph, water, measure"	2	clueweb09-en0007-09-34054	"deduct, ezbasket, call, customers, indigo"	"strips, test, level, ph, food"	2
16	20956	"Dental Hygiene Schools."	"pages about Dentral Hygiene Schools in the US, admission criteria and curriculum, types of degrees, job descriptions, etc."	"pages about hygiene products."	clueweb09-en0004-31-22292	"hygienists, patients, dental, programs, hygiene"	"dc, privacy, window, washington, separate"	1	clueweb09-en0007-62-27053	"website, contact, policy, set, yellow"	"dental, guide, schools, hygiene, programs"	2	clueweb09-en0004-19-08667	"harvest, dept, nh, parapharmacie, superior"	"personal, hand, industrial, dental, hygiene"	2	clueweb09-en0006-81-29250	"exam, university, rights, student, chair"	"hygiene, advising, dental, health, professions"	2	clueweb09-en0007-62-27054	"dental, schools, programs, health, hygiene"	"subject, user, agreementdisclaimer, roses, broken"	1
17	20780	"biography of Fighting Joe Wheeler."	"pages about General Joseph Wheeler's biography."	"pages that simply mention the General but do not elaborate."	clueweb09-enwp01-74-10341	"charity, license, cite, fran, ais"	"general, battle, joseph, war, wheeler"	2	clueweb09-en0011-26-41543	"tide, enabled, aily, timesd, map"	"shoals, trent, golf, jones, advertisement"	2	clueweb09-en0002-28-35160	"valdarno, broadcasts, figeholm, 45750, cantina"	"figure, fighting, fig, wheel, fifty"	2	clueweb09-en0004-95-13822	"fight, yetisports, racer, racing, bike"	"unicorn, speedboat, van, vxr, tuner"	1	clueweb09-en0007-55-02901	"65, natural, 468, loop, union"	"alabama, park, joe, wheeler, lodge"	2
18	20584	"home remedies for Canker Sores (mouth ulcer)."	"pages that explain what canker sores are, how they develop, treatment, if they are contagious, etc."	"pages that just mention canker sores but do not provide useful information."	clueweb09-enwp00-34-20871	"oral, edit, aphthous, ulcers, pain"	"privacy, norsk, details, gnu, 501"	1	clueweb09-en0009-50-41364	"doctors, canker, day, remedies, sores"	"terms, advertising, changes, errors, dietary"	1	clueweb09-en0007-75-20753	"blisters, mouth, canker, sores, pores"	"dandruff, login, articles, provide, blog"	1	clueweb09-enwp01-02-13368	"recurrent, aphthous, ulcers, oral, pmid"	"march, shqip, foundation, documentation, nonprofit"	1	clueweb09-en0010-37-19125	"canker, health, supplement, sores, treatment"	"prozac, plavix, premarin, fosamax, lipitor"	1
21	20636	"information on Earthquakes."	"pages that describe their causes or where they occur."	"pages that talk about forecasting and preparing or the damage they cause."	clueweb09-en0002-13-18785	"center, cherry, 21, weather, nonseismic"	"island, california, earthquake, md, utc"	2	clueweb09-en0006-01-15562	"20472, 500, foia, tty, washington"	"plan, earthquake, disaster, contact, fema"	2	clueweb09-en0001-69-02310	"usgs, earthquake, search, seismic, topics"	"modified, notices, 201116, team, hrp"	1	clueweb09-en0006-01-15847	"disaster, shaking, magnitude, scale, earthquake"	"seismic, 40, long, floor, 20"	1	clueweb09-en0006-01-15567	"4627585, data, program, 500, policy"	"fema, earthquake, advanced, contact, disaster"	2
22	20694	"information about Squamous Cell Carcinomas."	"pages that describe the causes of the disease, symptoms, treatments, other types of carcinoma, etc."	"pages that only mention the disease or provide photographs."	clueweb09-en0002-02-32549	"skin, cell, squamous, cancer, carcinoma"	"written, privacy, resource, dispense, users"	1	clueweb09-en0003-48-01770	"carcinoma, tumor, situ, cell, malignant"	"partner, advice, liter, data, professional"	1	clueweb09-en0000-32-30026	"stage, small, squamous, cell, carcinoma"	"vesicle, carburator, seminal, dalmation, carbon25"	1	clueweb09-en0009-20-02593	"cancer, health, skin, squamous, div"	"impotence, pregnancy, osteoarthritis, headache, lyme"	1	clueweb09-en0001-20-18030	"pedoia, cell, solidcy, basal, carcinoma"	"string, kinnet, fleshcoloured, peripheral, alphabet"	1
23	20686	"jobs in the state of Washington."	"pages that talk about jobs in the state of Washington, how to apply or salary ranges."	"pages that talk about general employment issues or about the city of Washington instead of the state."	clueweb09-en0000-28-16458	"clerical, recruiting, service, sales, administrative"	"jobs, avionics, island, technician, washington"	2	clueweb09-en0002-99-19640	"budding, map, kind, american, mothers"	"transcription, medical, job, washington, search"	2	clueweb09-en0000-65-28628	"prior, bizspace, cached, mass, reserved"	"washington, news, jobs, dc, executive"	2	clueweb09-en0001-81-09701	"ce, engineer, 152009, washington, jobs"	"construction, group, environmental, customer, eoe"	1	clueweb09-en0009-44-02185	"woodinville, 20052007, copyright, salmon, woodland"	"lodging, lake, washington, city, jobs"	2
24	20690	"treatments for Receding Gum."	"pages that describe the disease, treatments and their cost, dentists that treat it."	"pages related to cosmetic treatments or that merely advertise products."	clueweb09-en0010-85-05105	"receding, hairline, entireweb, wikipedia, hair"	"finasteride, 2009, entradas, pills, globalos"	1	clueweb09-en0011-57-02219	"healthboards, mouth, skin, visit, program"	"breath, periodontal, disease, gums, bad"	2	clueweb09-enwp00-92-02887	"details, 2056, privacy, trademark, january"	"tissue, gum, graft, gingival, recession"	2	clueweb09-enwp01-51-13271	"taxdeductible, charity, nonprofit, 501, wikimedia"	"periodontal, recession, gum, gingival, receding"	2	clueweb09-enwp01-68-00331	"gum, disease, periodontal, teeth, tooth"	"portugu, taxdeductible, foundation, nederlands, details"	1
27	20910	"information about Yersinia (bacteria)."	"pages that describe the Yersinia genus of bacteria or the Yersinia Pestis-Bubonic Plague."	"pages that merely mention the bacteria but do not give further information."	clueweb09-en0002-75-08164	"epidemiology, midwest, yang, schriefer, martin"	"institute, center, strain, pestis, yersinia"	2	clueweb09-enwp03-32-23122	"text, ti, taxdeductible, 501, march"	"edit, yersinia, plague, doi, pestis"	2	clueweb09-en0003-44-13645	"specific, consult, methods, 20062008, advertise"	"symptoms, yersinia, pestis, plague, emedtv"	2	clueweb09-en0003-44-13653	"bubonic, emedtv, plague, disease, symptoms"	"consult, diagnosed, images, advertise, physician"	1	clueweb09-en0004-02-22816	"yersinia, food, microbiol, enterocolitica, al"	"sonnenwirth, feeley, screening, avenue, log"	1
28	20996	"information about Guillermo Venegas Lloveras."	"pages with bibliographical infomation, contact data, photos, etc."	"pages that mention Guillermo Venegas but without details."	clueweb09-en0007-11-30630	"composers, vaughan, williams, de, composition"	"map, site, privacy, support, direct"	1	clueweb09-en0009-49-24975	"guido, liang, sheets, guang, wong"	"guilmant, manage, friends, brackets, credits"	1	clueweb09-enwp01-53-09380	"wikipedia, jos, pe, puerto, rican"	"march, version, taxdeductible, foundation, privacy"	1	clueweb09-enwp01-57-09670	"privacy, cite, 0049, foundation, policy"	"puerto, juan, popular, rico, rican"	2	clueweb09-enwp01-69-11962	"2124, trademark, privacy, details, license"	"edit, beach, quebradillas, puerto, rico"	2
29	20584	"home remedies for Canker Sores (mouth ulcer)."	"pages that explain what canker sores are, how they develop, treatment, if they are contagious, etc."	"pages that just mention canker sores but do not provide useful information."	clueweb09-enwp00-01-19902	"trademark, policy, taxdeductible, privacy, modified"	"treatment, edit, ulcers, aphthous, oral"	2	clueweb09-en0008-38-12862	"bad, halitosis, mouth, sores, remedies"	"vitamins, newsletter, tips, copyrights, 2004"	1	clueweb09-en0004-65-06344	"remedies, natural, hair, infection, herbal"	"labradore, table, whiteheads, nervousness, chennai"	1	clueweb09-enwp00-03-20157	"taxdeductible, details, license, gnu, nederlands"	"aphthous, treatment, pmid, oral, ulcers"	2	clueweb09-en0008-38-13152	"canker, sore, cures, remedies, natural"	"tips, additional, blog, 2004, provide"	1
31	20996	"information about Guillermo Venegas Lloveras."	"pages with bibliographical infomation, contact data, photos, etc."	"pages that mention Guillermo Venegas but without details."	clueweb09-en0009-05-38552	"build, recreation, 20042006, largest, based"	"sites, list, arts, web, composers"	2	clueweb09-en0002-22-30445	"build, help, data, web, largest"	"puerto, music, composer, rico, band"	2	clueweb09-en0009-52-17951	"ignacio, gonzalo, ven, hector, egas"	"cabrera, rob, santillan, espindola, araya"	1	clueweb09-en0009-25-09766	"dictionary, franz, lawes, jean, classical"	"luzzasco, luzzaschi, locatelli, lumbye, karl"	1	clueweb09-en0002-70-15037	"composers, de, music, directory, antonio"	"137, build, help, 0096, 21"	1
32	20972	"information about the Vice President's Residence."	"pages that describe where it is, size, number of rooms, decoration, allowed residents, entertainment, etc."	"pages about the Vice President but not his residence."	clueweb09-enwp01-43-15796	"observatory, president, united, vice, house"	"nonprofit, 2009, trademark, disclaimers, norsk"	1	clueweb09-en0000-00-21183	"president, email, will, cheney, biden"	"dc, west, touts, news, 101"	1	clueweb09-en0003-04-23086	"day, vice, united, presidents, list"	"train, howmany, befo, 19802007, thumbs"	1	clueweb09-enwp01-55-13568	"vice, number, president, circle, house"	"modified, trademark, 501, copyrights, 1636"	1	clueweb09-en0000-37-29655	"capital, firefighters, publicist, checks, roof"	"cheney, biden, meet, vice, email"	2
33	20812	"the Free Email Directory."	"the Free Email Directory homepage."	"other pages."	clueweb09-en0006-25-23790	"generata, vietata, 2009, venezia, cucina"	"gratis, elettronica, sito, posta, email"	2	clueweb09-en0009-82-39366	"latest, list, coding, better, contact"	"cyberculture, link, submit, email, directory"	2	clueweb09-en0007-96-05056	"medical, hotel, include, legal, leading"	"email, services, directory, people, free"	2	clueweb09-en0009-85-06314	"dalhousie, link, kangra, yellow, photogallery"	"web, solutions, hosting, email, search"	2	clueweb09-en0007-96-05078	"free, email, account, services, address"	"advice, celebrity, llc, asia, include"	1
34	20690	"treatments for Receding Gum."	"pages that describe the disease, treatments and their cost, dentists that treat it."	"pages related to cosmetic treatments or that merely advertise products."	clueweb09-en0006-17-07635	"surface, adults, gums, root, receding"	"vulnerable, fragile, office, graft, recommend"	1	clueweb09-en0010-06-11552	"administration, evaluated, illnesses, drug, website"	"prevent, inflammation, gingivitis, treatment, gums"	2	clueweb09-en0006-71-14446	"ohio, tennessee, minnesota, oregon, pennsylvania"	"involved, cosmetic, surgery, receding, gum"	2	clueweb09-en0006-52-17504	"flavor, rss, 2009, info, infection"	"gum, recession, health, disease, teeth"	2	clueweb09-en0010-22-44362	"changes, reconstruction, tissue, cleanings, requires"	"health, grafting, recession, gum, receding"	2
37	20932	"translation from German to English."	"pages that help in translating German to English, either online or by downloading tools."	"pages that cannot be used to translate or are dedicated to other languages."	clueweb09-en0003-51-19379	"english, translation, french, german, services"	"imagenemocional, trilingual, goods, spain, advice"	1	clueweb09-en0009-07-06281	"chinesejapanese, questa, franis, servicios, chineseturkish"	"german, origin, translations, localization, language"	2	clueweb09-en0003-51-19478	"news, 2003, facts, gistintime, mim"	"english, translation, online, language, spanish"	2	clueweb09-en0003-51-19483	"german, translation, english, italian, spanish"	"accurate, 2003, order, uk, instant"	1	clueweb09-en0003-51-19571	"main, directory, worldlanguage, coulson, bidirectional"	"translation, spanish, tranlation, services, english"	2
38	20686	"jobs in the state of Washington."	"pages that talk about jobs in the state of Washington, how to apply or salary ranges."	"pages that talk about general employment issues or about the city of Washington instead of the state."	clueweb09-en0003-01-02536	"trades, recruiting, call, construction, aviation"	"washington, technician, medical, scientific, jobs"	2	clueweb09-en0010-59-35965	"salmon, submit, washougal, company, white"	"care, jobs, senior, nursing, washington"	2	clueweb09-en0003-61-25862	"provided, accounting, washington, jobs, dc"	"phoenix, wisconsin, connecticut, utah, 20062009"	1	clueweb09-en0005-33-15927	"operating, cath, diem, find, room"	"nursing, washington, medical, travel, center"	2	clueweb09-en0010-59-35966	"washington, care, senior, facilities, jobs"	"campos, montreal, schultz, nikaia, roskilde"	1
39	20694	"information about Squamous Cell Carcinomas."	"pages that describe the causes of the disease, symptoms, treatments, other types of carcinoma, etc."	"pages that only mention the disease or provide photographs."	clueweb09-enwp00-85-05422	"squamous, scc, skin, carcinoma, cell"	"fran, gnu, 501, 05, rk"	1	clueweb09-en0004-03-13249	"carcinoma, lines, dsmz, cell, oesophagus"	"duct, breast, tfk1, ball, siha"	1	clueweb09-enwp01-38-09676	"cell, carcinoma, tumor, squamous, cancer"	"modified, details, 29, gnu, ais"	1	clueweb09-en0004-92-12366	"analyzed, 3exon, dna, 11exon, detection"	"carcinoma, cell, tumor, malignant, lymphoma"	2	clueweb09-enwp01-78-21538	"polski, documentation, taxdeductible, ais, license"	"cancer, carcinoma, cell, squamous, scc"	2
42	20976	"information on Sudoku Puzzles."	"online sudoku puzzles, its origins, software, games, etc."	"pages containing links to download puzzles."	clueweb09-en0001-27-09370	"culture, father, text, phrases, documentation"	"puzzle, squares, retrieved, numbers, sudoku"	2	clueweb09-en0001-70-17784	"free, crossword, puzzle, sudoku, game"	"puzzeljp, comsudoku, visit, member, easylooking"	1	clueweb09-en0002-58-19434	"games, free, puzzles, sudoku, palm"	"urban, debunking, latin, adult, suck"	1	clueweb09-enwp00-17-00002	"policy, foundation, 2009, nonprofit, languages"	"permutations, sudoku, solutions, classes, grid"	2	clueweb09-en0003-76-22444	"puzzle, sudoku, play, game, squares"	"find, instructions, printable, beginners, privacy"	1
43	20542	"information on how the Fly Pentop Computer works."	"pages that explain how it works and what it is used for."	"pages that merely mention the pen."	clueweb09-en0006-95-29544	"fusion, homework, fly, help, computer"	"expansion, reference, operating, sale, cd"	1	clueweb09-en0001-49-23643	"airlines, squirrel, flying, club, saucer"	"louie, naovarangsy, nelehuk, harmatha, bonaventura"	1	clueweb09-en0008-90-04083	"scheduler, rights, registered, respective, site"	"paper, highspeed, fly, computer, fusion"	2	clueweb09-en0003-04-17786	"brotherham, hunter830, n35695, honeyouse, costere"	"fly, airline, park, fishing, tying"	2	clueweb09-en0008-90-04085	"terms, map, properties, ware, applications"	"paper, fusion, pc, computer, fly"	2
44	20690	"treatments for Receding Gum."	"pages that describe the disease, treatments and their cost, dentists that treat it."	"pages related to cosmetic treatments or that merely advertise products."	clueweb09-en0007-99-39946	"products, support, click, urgent, friend"	"receding, gums, teeth, dental, plaque"	2	clueweb09-enwp01-43-20343	"documentation, polski, disclaimers, portugus, copyrights"	"tooth, disease, periodontal, dental, teeth"	2	clueweb09-en0009-45-34398	"disclaimer, trusted, blog, directory, copyright"	"periodontal, gum, products, prevention, disease"	2	clueweb09-en0008-38-01555	"cold, chewing, truth, view, taste"	"floss, teeth, tooth, receding, gums"	2	clueweb09-enwp01-43-23419	"pocket, periodontal, gum, teeth, disease"	"2009, copyrights, details, svenska, nederlands"	1
45	20778	"Punctuation Guides."	"pages that contain punctuation guides or links to other guides."	"pages that mention guides but do not describe their contents."	clueweb09-enwp01-51-09059	"languages, marks, punctuation, english, comma"	"simple, terms, 501, policy, polski"	1	clueweb09-en0010-38-21776	"day, punctuation, mark, nt, commas"	"hug, brackets, eat, sloshed, friend"	1	clueweb09-enwp01-80-10993	"wikipedia, punctuation, english, comma, marks"	"march, taxdeductible, 2009, disclaimers, foundation"	1	clueweb09-en0011-29-10611	"day, punctuation, national, playtime, educators"	"written, decrying, cards, rubin, items"	1	clueweb09-enwp01-23-02887	"foundation, nonprofit, trademark, documentation, languages"	"erro, magazines, expression, character, unrecognised"	2
46	20584	"home remedies for Canker Sores (mouth ulcer)."	"pages that explain what canker sores are, how they develop, treatment, if they are contagious, etc."	"pages that just mention canker sores but do not provide useful information."	clueweb09-enwp01-40-14707	"2009, svenska, 0848, portugu, modified"	"aphthous, pmid, treatment, oral, ulcers"	2	clueweb09-enwp00-03-19812	"treatment, aphthous, ulcers, pmid, oral"	"modified, text, nonprofit, gnu, 501"	1	clueweb09-en0008-38-12793	"additional, yeast, tips, 2004, sitemap"	"sores, cancer, ulcer, leaves, remedies"	2	clueweb09-en0008-38-13196	"blood, throat, treatment, sore, remedies"	"subscribe, articles, provide, english, tips"	1	clueweb09-en0008-38-13206	"sitemap, usage, spanish, medicanet, copyrights"	"headaches, throat, remedies, lips, sore"	2
47	20778	"Punctuation Guides."	"pages that contain punctuation guides or links to other guides."	"pages that mention guides but do not describe their contents."	clueweb09-en0001-30-27818	"grammar, punctuation, guide, writing, university"	"will, rhetoric, created, southern, peck"	1	clueweb09-en0001-81-06154	"italy, listening, croatian, albanian, chinese"	"english, univ, writing, punctuation, guide"	2	clueweb09-en0005-60-03760	"hampuku, kikaku, kana, ufuonto, iteration"	"buildings, data, suru, da, system"	2	clueweb09-en0003-62-15621	"will, tampa, peck, marcos, san"	"grammar, writing, style, english, punctuation"	2	clueweb09-en0008-17-02899	"bibliography, penguin, guide, pullum, punctuation"	"6775, works, chicago, 1992, gowers"	1
48	20642	"pH levels (acidity)."	"pages that describe levels of pH."	"pages that merely mention pH levels but do not provide any insight."	clueweb09-en0000-66-14668	"comments, contributors, bibliography, invitation, monday"	"10, acid, values, ph, water"	2	clueweb09-en0000-44-08893	"350, surf, documented, blogspotcom, opened"	"ph, acid, fish, water, levels"	2	clueweb09-en0003-80-08838	"tudent, phd, level, info, gender"	"miller2965sociology, mccloud34sociology, miller3458sociology, mccreery, mcdaniel"	1	clueweb09-en0001-72-15570	"stuff, online, lights, lawncare, games"	"ideal, range, soil, ph, garden"	2	clueweb09-en0000-44-08906	"labels, join, suddenly, industry, drops"	"aquaculture, fish, ph, water, bass"	2
49	20696	"information about Supernova Stars."	"pages that explain what they are, their causes, power, what elements they create, etc."	"pages that simply talk about supernovas but do not provide any useful information."	clueweb09-enwp03-05-20145	"disambiguation, dance, wikipedia, article, supernova"	"charity, languages, 2009, foundation, documentation"	1	clueweb09-en0010-18-28639	"supernova, energy, universe, type, star"	"goods, contact, statement, flight, worldwideweb"	1	clueweb09-en0011-39-26715	"neutron, star, supernova, mass, explode"	"national, advameg, security, topic, add"	1	clueweb09-en0000-01-11089	"copyright, supernova, nebula, aat, star"	"df, warpers, ccaaoeppaaogovau, rights, contact"	1	clueweb09-en0000-10-16842	"events, universe, search, case, astronomy"	"will, legal, 2163683728, supernova, radiation"	1
50	20916	"the Doughton Park."	"pages with the location of the park, history, pictures, etc."	"pages that simply mention the park but do not provide details."	clueweb09-en0003-63-24077	"microsoft, earch, text, tenth, engine"	"mountain, miles, parkway, north, carolina"	2	clueweb09-en0002-88-19840	"gapbasin, trail, hike, 2009, creek"	"27601, nantahala, raleigh, bartram, national"	1	clueweb09-en0010-56-03378	"canada, alaska, alpine, 2008, privacy"	"tagged, ice, park, rock, doughton"	2	clueweb09-enwp00-37-12840	"parkway, blue, mountain, virginia, ridge"	"dansk, charity, languages, 2009, modified"	1	clueweb09-en0003-12-15181	"visit, outdoor, deer, hunting, 1935"	"blue, county, parkway, river, alleghany"	2
51	20780	"biography of Fighting Joe Wheeler."	"pages about General Joseph Wheeler's biography."	"pages that simply mention the General but do not elaborate."	clueweb09-en0011-67-31309	"rangers, time, fighting, army, men"	"cyrus, encoding, peeples, provided, holt"	1	clueweb09-en0011-80-13175	"area, theshoalsrtjgolfcom, al, info, 35661"	"shoals, golf, wheeler, tennessee, course"	2	clueweb09-enwp01-12-01392	"war, wheeler, confederate, general, army"	"modified, documentation, languages, 1908, italiano"	1	clueweb09-enwp01-21-06870	"joe, park, national, alabama, wildlife"	"documentation, copyrights, privacy, terms, charity"	1	clueweb09-en0002-02-25519	"fighting, fiji, fig, wheel, figure"	"funfacts, gala, solon, tyranids, atlantic"	1
52	20972	"information about the Vice President's Residence."	"pages that describe where it is, size, number of rooms, decoration, allowed residents, entertainment, etc."	"pages about the Vice President but not his residence."	clueweb09-enwp01-57-15610	"nonprofit, gnu, 501, policy, 2009"	"residence, vice, circle, house, president"	2	clueweb09-en0000-79-40603	"email, cheney, president, biden, vice"	"television, man, stations, shot, head"	1	clueweb09-en0003-49-30622	"vice, president, senior, executive, presidentelect"	"dc, american, 8th, washington, copyright"	1	clueweb09-en0001-36-07415	"birds, win, police, hospitalized, spoil"	"meet, biden, email, cheney, will"	2	clueweb09-en0007-81-27621	"quote, 1988, columbia, license, 1800"	"office, elected, republican, president, vice"	2
